IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.144.196,8880,false,SIN,Asia Pacific,Singapore,231 ms,3739 kB/s
47.242.17.250,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,3689 kB/s
8.219.100.168,2086,false,SIN,Asia Pacific,Singapore,233 ms,3669 kB/s
47.243.27.217,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,3669 kB/s
8.222.252.150,8080,false,SIN,Asia Pacific,Singapore,242 ms,3585 kB/s
47.236.144.196,8080,false,SIN,Asia Pacific,Singapore,221 ms,3570 kB/s
8.219.0.162,2086,false,SIN,Asia Pacific,Singapore,221 ms,3535 kB/s
8.222.252.150,8880,false,SIN,Asia Pacific,Singapore,238 ms,3499 kB/s
47.236.7.106,80,false,SIN,Asia Pacific,Singapore,246 ms,3487 kB/s
8.222.249.98,8880,false,SIN,Asia Pacific,Singapore,235 ms,3476 kB/s
8.218.52.115,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,3464 kB/s
47.243.27.217,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,3387 kB/s
47.236.87.246,2086,false,SIN,Asia Pacific,Singapore,242 ms,3324 kB/s
47.88.85.197,2095,false,SJC,North America,San Jose,170 ms,3201 kB/s
8.219.193.202,8080,false,SIN,Asia Pacific,Singapore,223 ms,2978 kB/s
47.242.59.216,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,2844 kB/s
8.219.170.223,2082,false,SIN,Asia Pacific,Singapore,235 ms,2787 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,215 ms,2408 kB/s
8.217.248.220,80,false,HKG,Asia Pacific,Hong Kong,60 ms,2340 kB/s
47.242.171.94,80,false,HKG,Asia Pacific,Hong Kong,58 ms,2288 kB/s
47.243.27.217,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,2098 kB/s
8.219.193.202,80,false,SIN,Asia Pacific,Singapore,230 ms,2076 kB/s
8.217.164.10,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,2052 kB/s
47.245.105.224,2095,false,SIN,Asia Pacific,Singapore,231 ms,2017 kB/s
47.242.17.250,80,false,HKG,Asia Pacific,Hong Kong,59 ms,1771 kB/s
47.242.17.250,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,1664 kB/s
47.242.17.250,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,1547 kB/s
47.242.176.237,8880,false,HKG,Asia Pacific,Hong Kong,56 ms,1493 kB/s
47.243.27.217,80,false,HKG,Asia Pacific,Hong Kong,62 ms,1410 kB/s
47.242.59.216,8880,false,HKG,Asia Pacific,Hong Kong,56 ms,1026 kB/s
8.218.52.115,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,1006 kB/s
47.243.27.217,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,925 kB/s
47.242.171.94,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,844 kB/s
47.242.17.250,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,754 kB/s
47.76.171.106,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,754 kB/s
8.217.164.10,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,662 kB/s
8.217.145.40,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,589 kB/s
198.11.175.125,80,false,SJC,North America,San Jose,180 ms,567 kB/s
8.217.145.40,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,512 kB/s
8.217.164.10,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,473 kB/s
47.57.243.244,80,false,HKG,Asia Pacific,Hong Kong,73 ms,449 kB/s
8.217.145.40,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,431 kB/s
8.210.101.157,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,415 kB/s
47.245.105.224,8880,false,SIN,Asia Pacific,Singapore,239 ms,359 kB/s
47.242.171.94,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,245 kB/s
47.245.105.224,8080,false,SIN,Asia Pacific,Singapore,242 ms,236 kB/s
47.251.74.226,80,false,LAX,North America,Los Angeles,169 ms,214 kB/s
8.219.193.202,8880,false,SIN,Asia Pacific,Singapore,227 ms,211 kB/s
8.218.52.115,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,51 kB/s
8.212.12.98,80,false,HKG,Asia Pacific,Hong Kong,68 ms,51 kB/s
8.217.145.40,80,false,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
47.243.27.217,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
8.218.18.132,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
8.218.18.132,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.245.105.224,80,false,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
8.210.55.134,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
8.218.18.132,80,false,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
8.218.18.132,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
8.218.18.132,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,0 kB/s
8.210.55.134,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
8.218.52.115,80,false,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
8.218.52.115,8080,false,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
8.210.146.108,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
8.210.146.108,8080,false,HKG,Asia Pacific,Hong Kong,55 ms,0 kB/s
47.236.116.26,2082,false,SIN,Asia Pacific,Singapore,244 ms,0 kB/s
47.242.176.237,80,false,HKG,Asia Pacific,Hong Kong,65 ms,0 kB/s
47.242.171.94,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,0 kB/s
8.210.101.157,80,false,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
47.236.170.54,8880,false,SIN,Asia Pacific,Singapore,234 ms,0 kB/s
8.219.124.227,8880,false,SIN,Asia Pacific,Singapore,227 ms,0 kB/s
47.236.10.182,2052,false,SIN,Asia Pacific,Singapore,217 ms,0 kB/s
47.76.49.246,2086,false,HKG,Asia Pacific,Hong Kong,68 ms,0 kB/s
